Transcript_ID,Gene_ID
mRNA266,mRNA266
mRNA267,mRNA267
mRNA268,mRNA268
mRNA269,mRNA269
mRNA270,mRNA270
mRNA271,mRNA271
mRNA272,mRNA272
mRNA273,mRNA273
mRNA274,mRNA274
mRNA275,mRNA275
mRNA276,mRNA276
mRNA277,mRNA277
mRNA278,mRNA278
mRNA279,mRNA279
mRNA280,mRNA280
mRNA281,mRNA281
mRNA282,mRNA282
mRNA283,mRNA283
mRNA284,mRNA284
mRNA285,mRNA285
mRNA286,mRNA286
mRNA287,mRNA287
mRNA288,mRNA288
mRNA289,mRNA289
mRNA290,mRNA290
mRNA291,mRNA291
mRNA292,mRNA292
mRNA293,mRNA293
mRNA294,mRNA294
mRNA295,mRNA295
mRNA296,mRNA296
mRNA297,mRNA297
mRNA298,mRNA298
mRNA299,mRNA299
mRNA300,mRNA300
mRNA301,mRNA301
mRNA302,mRNA302
mRNA303,mRNA303
mRNA304,mRNA304
mRNA305,mRNA305
mRNA306,mRNA306
mRNA307,mRNA307
mRNA308,mRNA308
mRNA309,mRNA309
mRNA310,mRNA310
mRNA311,mRNA311
mRNA312,mRNA312
mRNA313,mRNA313
mRNA314,mRNA314
mRNA315,mRNA315
mRNA316,mRNA316
mRNA317,mRNA317
mRNA318,mRNA318
mRNA319,mRNA319
mRNA320,mRNA320
mRNA321,mRNA321
mRNA322,mRNA322
mRNA323,mRNA323
mRNA324,mRNA324
mRNA325,mRNA325
mRNA326,mRNA326
mRNA327,mRNA327
mRNA328,mRNA328
mRNA329,mRNA329
mRNA330,mRNA330
mRNA331,mRNA331
mRNA332,mRNA332
mRNA333,mRNA333
mRNA334,mRNA334
mRNA335,mRNA335
mRNA336,mRNA336
mRNA337,mRNA337
mRNA338,mRNA338
mRNA339,mRNA339
mRNA340,mRNA340
mRNA341,mRNA341
mRNA342,mRNA342
mRNA343,mRNA343
mRNA344,mRNA344
mRNA345,mRNA345
mRNA346,mRNA346
mRNA347,mRNA347
mRNA348,mRNA348
mRNA349,mRNA349
mRNA350,mRNA350
mRNA351,mRNA351
mRNA352,mRNA352
mRNA353,mRNA353
mRNA354,mRNA354
mRNA355,mRNA355
mRNA356,mRNA356
mRNA357,mRNA357
mRNA358,mRNA358
mRNA359,mRNA359
mRNA360,mRNA360
mRNA361,mRNA361
mRNA362,mRNA362
mRNA363,mRNA363
mRNA364,mRNA364
mRNA365,mRNA365
mRNA366,mRNA366
mRNA367,mRNA367
mRNA368,mRNA368
mRNA369,mRNA369
mRNA370,mRNA370
mRNA371,mRNA371
mRNA372,mRNA372
mRNA373,mRNA373
mRNA374,mRNA374
mRNA375,mRNA375
mRNA376,mRNA376
mRNA377,mRNA377
mRNA378,mRNA378
mRNA379,mRNA379
mRNA380,mRNA380
mRNA381,mRNA381
mRNA382,mRNA382
mRNA383,mRNA383
mRNA384,mRNA384
mRNA385,mRNA385
mRNA386,mRNA386
mRNA387,mRNA387
mRNA388,mRNA388
mRNA389,mRNA389
mRNA390,mRNA390
mRNA391,mRNA391
mRNA392,mRNA392
mRNA393,mRNA393
mRNA394,mRNA394
mRNA395,mRNA395
mRNA396,mRNA396
mRNA397,mRNA397
mRNA398,mRNA398
mRNA399,mRNA399
mRNA400,mRNA400
mRNA401,mRNA401
mRNA402,mRNA402
mRNA403,mRNA403
mRNA404,mRNA404
mRNA405,mRNA405
mRNA406,mRNA406
mRNA407,mRNA407
mRNA408,mRNA408
mRNA409,mRNA409
mRNA410,mRNA410
mRNA411,mRNA411
mRNA412,mRNA412
mRNA413,mRNA413
mRNA414,mRNA414
mRNA415,mRNA415
mRNA416,mRNA416
mRNA417,mRNA417
mRNA418,mRNA418
mRNA419,mRNA419
mRNA420,mRNA420
mRNA421,mRNA421
mRNA422,mRNA422
mRNA423,mRNA423
mRNA424,mRNA424
mRNA425,mRNA425
mRNA426,mRNA426
mRNA427,mRNA427
mRNA428,mRNA428
mRNA429,mRNA429
mRNA430,mRNA430
mRNA431,mRNA431
mRNA432,mRNA432
mRNA433,mRNA433
mRNA434,mRNA434
mRNA435,mRNA435
mRNA436,mRNA436
mRNA437,mRNA437
mRNA438,mRNA438
mRNA439,mRNA439
mRNA440,mRNA440
mRNA441,mRNA441
mRNA442,mRNA442
